,Age,Gender,Highest Education Level,Preferred Subjects in Highschool/College,Participation in Extracurricular Activities,Previous Work Experience (If Any),Preferred Work Environment,Risk-Taking Ability ,Leadership Experience,Networking & Social Skills,Tech-Savviness,Financial Stability - self/family (1 is low income and 10 is high income),Long-Term Career Goal,Motivation for Career Choice ,Number of Siblings,What would you like to become when you grow up,CGPA
159,22,Female,Post Graduate,Commerce,Not Participated,No Experience,Corporate Job,5.0,No Experience,No Experience,Can efficiently work with AI tools,3,Corporate,Work-life Balance,1,Corporate Employee,8.05
160,22,Female,Post Graduate,Science,Sports,No Experience,Corporate Job,7.0,No Experience,No Experience,Can efficiently work with AI tools,3,Other,Work-life Balance,0,,8.7
161,23,Male,Post Graduate,Science,Culturals,Internship,Corporate Job,7.0,No Experience,No Experience,Comfortable using newly launched technologies,5,Corporate,Passion,2,Corporate Employee,6.66
162,20,Male,Under Graduate,Commerce,Sports,No Experience,Research,5.0,No Experience,No Experience,Good Coding knowledge,5,Entrepreneur,Passion,3,Entrepreneur,8.2
163,20,Female,Under Graduate,Commerce,Culturals,Internship,Startup,10.0,Event Management,Attended Corporate events,Good Coding knowledge,8,Corporate,Money,1,Corporate Employee,8.58
164,20,Female,Under Graduate,Commerce,Culturals,No Experience,Corporate Job,7.0,No Experience,Attended Corporate events,Comfortable using newly launched technologies,5,Corporate,Money,1,Corporate Employee,8.15
165,20,Female,Under Graduate,Science,Sports,Internship,Corporate Job,9.0,Event Management,Attended Corporate events,Can efficiently work with AI tools,5,Government,Passion,1,Government Officer,8.24
166,21,Female,Post Graduate,Science,Sports,No Experience,Corporate Job,8.0,Event Management,No Experience,Good Coding knowledge,7,Corporate,Work-life Balance,1,Corporate Employee,9.59
167,25,Male,Post Graduate,Science,Sports,No Experience,Corporate Job,8.0,No Experience,No Experience,Comfortable using newly launched technologies,5,Research,Passion,1,Corporate Employee,6.5
168,22,Male,Post Graduate,Science,Sports,No Experience,Startup,2.0,Event Management,Attended Buisness meets,Good Coding knowledge,10,Entrepreneur,Work-life Balance,1,Entrepreneur,7.7
169,20,Male,Under Graduate,Science,Sports,Internship,Startup,7.0,No Experience,Attended Corporate events,Comfortable using newly launched technologies,7,Research,Money,1,Freelancer,7.0
170,21,Male,Post Graduate,Science,Not Participated,No Experience,Startup,9.0,No Experience,No Experience,Good Coding knowledge,4,Corporate,Work-life Balance,1,Corporate Employee,6.9
171,20,Female,Under Graduate,Science,Not Participated,Internship,Startup,10.0,Event Management,No Experience,Good Coding knowledge,10,Entrepreneur,Money,0,Entrepreneur,7.5
172,23,Female,Post Graduate,Science,Culturals,Internship,Corporate Job,9.0,No Experience,No Experience,Can efficiently work with AI tools,8,Government,Freedom,0,Government Officer,9.61
173,23,Male,Post Graduate,Science,Sports,Internship,Freelance,9.0,Event Management,Attended Conferences,Comfortable using newly launched technologies,7,Entrepreneur,Passion,0,Government Officer,7.0
174,21,Female,Under Graduate,Science,Culturals,No Experience,Corporate Job,8.0,Event Management,Attended Corporate events,Comfortable using newly launched technologies,2,Corporate,Work-life Balance,1,Government Officer,8.7
175,21,Male,Post Graduate,Science,Culturals,Internship,Corporate Job,8.0,No Experience,Attended Corporate events,Can efficiently work with AI tools,6,Government,Money,1,Entrepreneur,7.5
176,23,Male,Post Graduate,Science,Culturals,No Experience,Corporate Job,6.0,No Experience,No Experience,Comfortable using newly launched technologies,3,Corporate,Passion,0,Corporate Employee,7.5
177,21,Male,Post Graduate,Science,Culturals,No Experience,Corporate Job,10.0,No Experience,Attended Conferences,Comfortable using newly launched technologies,5,Corporate,Money,1,Corporate Employee,8.01
178,20,Female,Under Graduate,Science,Sports,No Experience,Corporate Job,8.0,No Experience,Attended Corporate events,Can efficiently work with AI tools,4,Corporate,Money,1,Corporate Employee,9.12
179,21,Female,Under Graduate,Commerce,Culturals,No Experience,Startup,10.0,Event Management,No Experience,Can efficiently work with AI tools,2,Corporate,Freedom,1,Corporate Employee,9.26
180,23,Male,Post Graduate,Science,Sports,No Experience,Startup,8.0,Student Council Member,Attended Corporate events,Can efficiently work with AI tools,9,Government,Passion,1,Government Officer,8.16
181,21,Male,Under Graduate,Commerce,Sports,Internship,Startup,6.0,Event Management,Attended Conferences,Comfortable using newly launched technologies,4,Entrepreneur,Passion,1,Entrepreneur,8.9
182,20,Female,Under Graduate,Commerce,Not Participated,No Experience,Startup,5.0,No Experience,No Experience,Can efficiently work with AI tools,8,Other,Passion,0,Government Officer,9.08
183,20,Female,Post Graduate,Commerce,Culturals,Part Time,Startup,7.0,No Experience,Attended Conferences,Comfortable using newly launched technologies,5,Other,Work-life Balance,1,Research/Scientist,8.6
184,20,Female,Under Graduate,Science,Culturals,Internship,Corporate Job,6.0,Student Council Member,Attended Conferences,Comfortable using newly launched technologies,1,Corporate,Work-life Balance,0,Corporate Employee,8.7
185,20,Female,Under Graduate,Science,Culturals,Internship,Corporate Job,8.0,Student Council Member,Attended Conferences,Comfortable using newly launched technologies,1,Corporate,Social Impact,1,Corporate Employee,8.61
186,20,Female,Under Graduate,Science,Culturals,No Experience,Freelance,5.0,No Experience,Attended Conferences,Comfortable using newly launched technologies,4,Freelance,Work-life Balance,1,Freelancer,8.4
187,21,Male,Under Graduate,Science,Sports,No Experience,Freelance,5.0,No Experience,No Experience,Good Coding knowledge,5,Government,Freedom,3,,9.0
188,21,Female,Under Graduate,Science,Culturals,No Experience,Corporate Job,7.0,No Experience,No Experience,Can efficiently work with AI tools,7,Corporate,Money,0,Corporate Employee,9.45
189,22,Male,Post Graduate,Science,Sports,No Experience,Startup,7.0,No Experience,No Experience,Comfortable using newly launched technologies,5,Entrepreneur,Passion,2,Entrepreneur,8.21
190,21,Female,Post Graduate,Science,Sports,No Experience,Corporate Job,9.0,No Experience,No Experience,Good Coding knowledge,7,Corporate,Passion,1,Corporate Employee,9.0
191,22,Male,Post Graduate,Science,Sports,No Experience,Corporate Job,10.0,No Experience,No Experience,Good Coding knowledge,5,Entrepreneur,Money,0,Entrepreneur,8.0
192,21,Male,Under Graduate,Science,Debate,Part Time,Corporate Job,5.0,Event Management,No Experience,Good Coding knowledge,3,Entrepreneur,Social Impact,0,Entrepreneur,9.68
193,21,Female,Under Graduate,Science,Culturals,No Experience,Corporate Job,10.0,Student Council Member,Attended Corporate events,Comfortable using newly launched technologies,10,Corporate,Passion,1,Corporate Employee,7.89
194,21,Female,Under Graduate,Science,Culturals,No Experience,Corporate Job,10.0,Event Management,Attended Conferences,Good Coding knowledge,5,Corporate,Work-life Balance,0,Corporate Employee,8.87
195,22,Female,Post Graduate,Science,Debate,No Experience,Corporate Job,2.0,Event Management,Attended Corporate events,Good Coding knowledge,6,Corporate,Passion,1,Corporate Employee,9.02
196,23,Female,Post Graduate,Science,Sports,No Experience,Corporate Job,6.0,No Experience,Attended Corporate events,Good Coding knowledge,8,Research,Work-life Balance,1,Government Officer,8.1
197,23,Male,Under Graduate,Science,Culturals,Part Time,Corporate Job,10.0,Event Management,Attended Corporate events,Comfortable using newly launched technologies,2,Entrepreneur,Work-life Balance,1,Corporate Employee,8.2
198,20,Female,Under Graduate,Science,Culturals,Internship,Startup,10.0,Event Management,No Experience,Can efficiently work with AI tools,10,Entrepreneur,Money,1,Entrepreneur,8.2
199,22,Female,Under Graduate,Commerce,Not Participated,No Experience,Corporate Job,8.0,No Experience,No Experience,Comfortable using newly launched technologies,7,Corporate,Money,2,Corporate Employee,9.16
200,22,Male,Post Graduate,Science,Sports,Internship,Startup,8.0,No Experience,No Experience,Good Coding knowledge,5,Government,Money,0,Government Officer,6.56
201,21,Male,Post Graduate,Commerce,Sports,No Experience,Corporate Job,6.0,No Experience,No Experience,Comfortable using newly launched technologies,5,Corporate,Work-life Balance,2,Corporate Employee,6.0
202,21,Female,Under Graduate,Commerce,Culturals,Internship,Corporate Job,5.0,No Experience,Attended Corporate events,Good Coding knowledge,5,Corporate,Work-life Balance,1,Corporate Employee,9.06
203,21,Male,Under Graduate,Commerce,Sports,Internship,Corporate Job,10.0,Event Management,Attended Conferences,Good Coding knowledge,5,Corporate,Passion,1,Corporate Employee,8.3
204,20,Female,Post Graduate,Commerce,Sports,Internship,Corporate Job,10.0,Event Management,Attended Conferences,Can efficiently work with AI tools,5,Government,Money,1,Corporate Employee,8.5
205,21,Female,Under Graduate,Commerce,Not Participated,No Experience,Corporate Job,5.0,No Experience,No Experience,Can efficiently work with AI tools,4,Corporate,Money,1,Corporate Employee,9.35
206,20,Female,Under Graduate,Commerce,Sports,Internship,Corporate Job,8.0,Student Council Member,No Experience,Comfortable using newly launched technologies,6,Corporate,Work-life Balance,1,,9.6
207,21,Female,Under Graduate,Commerce,Culturals,No Experience,Corporate Job,9.0,No Experience,No Experience,Good Coding knowledge,3,Entrepreneur,Passion,1,Entrepreneur,9.28
208,20,Male,High School,Commerce,Sports,Internship,Freelance,8.0,No Experience,Attended Conferences,Can efficiently work with AI tools,1,Other,Work-life Balance,1,,7.0
209,23,Female,Post Graduate,Science,Culturals,Internship,Corporate Job,8.0,No Experience,Attended Corporate events,Comfortable using newly launched technologies,8,Corporate,Passion,3,Government Officer,7.7
